,unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,message
1187,131234,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2005-2007,2005-01-01,14.8,
15237,151637,643,Annual vehicle miles traveled,million miles,per km2,UHF42,208,Canarsie - Flatlands,2005,2005-01-01,16.0,
9532,151685,644,Annual vehicle miles travelled (cars),million miles,per km2,UHF42,208,Canarsie - Flatlands,2005,2005-01-01,15.5,
13251,130974,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",Borough,1,Bronx,2005-2007,2005-01-01,31.3,
8681,151730,645,Annual vehicle miles travelled (trucks),million miles,per km2,UHF42,205,Sunset Park,2005,2005-01-01,1.8,
8684,130694,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,2005-01-01,2.5,
8685,130696,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,205,Sunset Park,2005,2005-01-01,3.2,
8686,130715,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,403,Flushing - Clearview,2005,2005-01-01,1.9,
8687,130687,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,103,Fordham - Bronx Pk,2005,2005-01-01,2.7,
4462,154496,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,413,Queens Village (CD13),2005,2005-01-01,0.6,
13262,130966,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,408,Jamaica,2005-2007,2005-01-01,24.4,
15211,131263,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,2,Brooklyn,2005-2007,2005-01-01,55.5,
15241,131023,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Borough,2,Brooklyn,2005-2007,2005-01-01,5.6,
13263,130965,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,2005-01-01,25.6,
13264,130955,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2005-2007,2005-01-01,17.1,
15199,131360,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,3,Manhattan,2005-2007,2005-01-01,5.5,
15198,130928,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Borough,3,Manhattan,2005-2007,2005-01-01,18.3,
9525,154456,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,203,Morrisania and Crotona (CD3),2005,2005-01-01,1.3,
13265,130944,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,207,East Flatbush - Flatbush,2005-2007,2005-01-01,24.0,
8688,130717,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,405,Ridgewood - Forest Hills,2005,2005-01-01,2.0,
9524,154486,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,403,Jackson Heights (CD3),2005,2005-01-01,0.6,
9521,154468,645,Annual vehicle miles travelled (trucks),million miles,per km2,CD,303,Bedford Stuyvesant (CD3),2005,2005-01-01,0.9,
13266,130956,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-2007,2005-01-01,13.4,
15192,130888,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2007,2005-01-01,42.2,
9518,151629,643,Annual vehicle miles traveled,million miles,per km2,UHF42,107,Hunts Point - Mott Haven,2005,2005-01-01,21.3,
15200,131224,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2007,2005-01-01,193.7,
9537,130710,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,308,Greenwich Village - SoHo,2005,2005-01-01,4.7,
9538,130698,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,207,East Flatbush - Flatbush,2005,2005-01-01,2.3,
